Designator,Mid X,Mid Y,Rotation,Layer
C1,77.0,-100.0,90.0,top
C2,77.0,-119.0,90.0,top
C3,77.0,-81.0,90.0,top
C4,77.0,-90.0,90.0,top
C5,90.0,-127.0,0.0,top
C6,55.0,-126.0,0.0,top
C7,73.0,-122.0,0.0,top
C8,77.0,-110.0,90.0,top
J1,83.646887,-111.137765,90.0,top
J2,83.646887,-101.284361,90.0,top
J3,83.673825,-120.541202,90.0,top
J4,83.650986,-82.25,90.0,top
J5,83.651702,-91.91709,90.0,top
J6,81.205721,-128.831318,0.0,top
J7,63.058781,-128.822356,0.0,top
J8,72.168283,-128.798334,0.0,top
R17,58.801,-110.998,0.0,top
R18,58.801,-83.058,0.0,top
R19,58.801,-85.471,0.0,top
R20,58.801,-118.618,0.0,top
R21,58.801,-116.078,0.0,top
R22,68.326,-110.998,180.0,top
R23,68.326,-108.458,180.0,top
R24,68.326,-118.618,180.0,top
U1,63.575022,-100.785,0.0,top
